Record_ID,Asset_ID,Asset_Type,Unit,Location,Status,Maintenance_Type,Maintenance_Date,Maintenance_Days,Maintenance_Cost_INR,Inventory_Item,Inventory_Stock,Reorder_Level,Quantity,Stock_Status
REC-0067,AST-1032,Power Unit,Unit E,Pune,Operational,,2026-02-23,0,0.0,Battery,150.0,48,17,OK
REC-0068,AST-1130,Vehicle,Unit B,Pune,Under Maintenance,Corrective,2026-03-03,27,24968.0,Connector,120.0,45,7,OK
REC-0069,AST-1084,Radar Unit,Unit D,Pune,Operational,,2026-04-24,1,0.0,Lubricant,129.0,54,8,OK
REC-0070,AST-1022,Generator,Unit C,Chandigarh,Standby,,2026-04-20,2,0.0,Filter,92.0,34,13,OK
REC-0071,AST-1027,Vehicle,Unit D,Pune,Under Maintenance,Corrective,2025-05-06,6,77848.0,Sensor,39.0,22,16,OK
REC-0072,AST-1081,Radar Unit,Unit C,Jaipur,Operational,,2026-01-30,2,0.0,Cable,5.0,42,4,Low Stock
REC-0073,AST-1126,Vehicle,Unit C,Ahmedabad,Operational,,2025-11-21,0,0.0,Fuse,130.0,48,8,OK
REC-0074,AST-1092,Power Unit,Unit D,Ahmedabad,Under Maintenance,Corrective,2026-01-27,10,62589.0,Battery,93.0,53,16,OK
REC-0075,AST-1021,Power Unit,Unit C,Chandigarh,Under Maintenance,Corrective,2026-03-16,12,50115.0,Battery,148.0,52,10,OK
REC-0076,AST-1047,Power Unit,Unit C,Jaipur,Under Maintenance,Corrective,2025-07-23,25,79934.0,Fuse,29.0,60,12,Low Stock
REC-0077,AST-1101,Cooling System,Unit B,Delhi,Under Maintenance,Preventive,2026-05-01,23,13901.0,Lubricant,20.0,60,12,Low Stock
REC-0078,AST-1084,Cooling System,Unit E,Delhi,Operational,,2025-01-31,0,0.0,Fuse,77.0,42,5,OK
REC-0079,AST-1006,Generator,Unit E,Pune,Operational,,2026-01-23,1,0.0,Filter,133.0,26,16,OK
REC-0080,AST-1147,Power Unit,Unit B,Jodhpur,Operational,Inspection,2026-03-10,2,4343.0,Fuse,46.0,22,1,OK
REC-0081,AST-1131,Radar Unit,Unit D,Delhi,Under Maintenance,Corrective,2026-01-11,28,32955.0,Battery,84.0,51,9,OK
REC-0082,AST-1001,Vehicle,Unit A,Jodhpur,Operational,,2025-12-10,1,0.0,Fuse,108.0,50,12,OK
REC-0083,AST-1058,Communication Equipment,Unit A,Ahmedabad,Operational,,2026-03-19,0,0.0,Cable,150.0,37,5,OK
REC-0084,AST-1124,Radar Unit,Unit A,Jodhpur,Operational,,2025-03-16,1,0.0,Sensor,38.0,26,20,OK
REC-0085,AST-1015,Cooling System,Unit B,Ahmedabad,Operational,,2025-06-04,0,0.0,Filter,93.0,60,3,OK
REC-0086,AST-1064,Cooling System,Unit B,Jaipur,Operational,,2026-03-06,0,0.0,Fuse,129.0,20,5,OK
REC-0087,AST-1025,Radar Unit,Unit C,Jaipur,Under Maintenance,Corrective,2025-12-29,15,39113.0,Battery,49.0,33,2,OK
REC-0088,AST-1024,Cooling System,Unit A,Chandigarh,Operational,,2026-03-24,0,0.0,Connector,138.0,51,14,OK
REC-0089,AST-1012,Power Unit,Unit D,Chandigarh,Standby,,2025-08-22,2,0.0,Sensor,25.0,25,2,OK
REC-0090,AST-1018,Generator,Unit D,Pune,Operational,,2025-09-19,1,0.0,Filter,126.0,58,13,OK
REC-0091,AST-1015,Vehicle,Unit A,Delhi,Operational,,2025-05-05,0,0.0,Battery,74.0,29,7,OK
REC-0092,AST-1027,Generator,Unit A,Pune,Under Maintenance,Preventive,2025-09-02,19,26800.0,Lubricant,100.0,26,10,OK
REC-0093,AST-1072,Vehicle,Unit A,Ahmedabad,Under Maintenance,Corrective,2026-06-26,15,65221.0,Cable,109.0,45,13,OK
REC-0094,AST-1060,Vehicle,Unit B,Pune,Operational,,2026-04-30,1,0.0,Lubricant,52.0,53,16,Low Stock
REC-0095,AST-1145,Generator,Unit B,Jodhpur,Under Maintenance,Preventive,2025-05-02,15,18001.0,Cable,43.0,49,14,Low Stock
REC-0096,AST-1093,Radar Unit,Unit B,Ahmedabad,Operational,Corrective,2025-05-05,0,72935.0,Fuse,35.0,55,11,Low Stock
REC-0097,AST-1053,Vehicle,Unit E,Chandigarh,Operational,,2025-06-19,2,0.0,Filter,14.0,40,10,Low Stock
REC-0098,AST-1008,Generator,Unit D,Jaipur,Operational,,2025-05-04,0,0.0,Fuse,34.0,36,6,Low Stock
REC-0099,AST-1079,Vehicle,Unit D,Chandigarh,Operational,,2025-02-04,2,0.0,Cable,22.0,52,4,Low Stock
REC-0100,AST-1027,Communication Equipment,Unit C,Delhi,Operational,,2025-03-28,2,0.0,Cable,92.0,29,1,OK
REC-0101,AST-1050,Radar Unit,Unit B,Ahmedabad,Operational,,2025-07-20,0,0.0,Cable,129.0,31,7,OK
REC-0102,AST-1131,Power Unit,Unit E,Ahmedabad,Operational,,2026-01-04,1,0.0,Sensor,77.0,35,9,OK
REC-0103,AST-1093,Vehicle,Unit E,Jodhpur,Operational,Corrective,2025-03-18,1,48049.0,Battery,19.0,60,8,Low Stock
REC-0104,AST-1024,Communication Equipment,Unit D,Delhi,Operational,,2025-02-28,2,0.0,Filter,8.0,51,5,Low Stock
REC-0105,AST-1060,Power Unit,Unit B,Jaipur,Standby,,2026-03-07,2,0.0,Fuse,13.0,34,19,Low Stock
REC-0106,AST-1122,Power Unit,Unit C,Ahmedabad,Operational,,2026-05-15,1,0.0,Fuse,113.0,46,10,OK
REC-0107,AST-1131,Vehicle,Unit B,Ahmedabad,Operational,,2025-04-19,1,0.0,Lubricant,141.0,47,11,OK
REC-0108,AST-1148,Generator,Unit A,Jodhpur,Under Maintenance,Preventive,2025-10-05,12,10968.0,Cable,136.0,36,15,OK
REC-0109,AST-1046,Vehicle,Unit B,Pune,Operational,,2025-03-09,0,0.0,Connector,20.0,21,6,Low Stock
REC-0110,AST-1015,Communication Equipment,Unit A,Jaipur,Operational,,2025-03-10,2,0.0,Cable,147.0,55,15,OK
REC-0111,AST-1017,Power Unit,Unit A,Chandigarh,Operational,,2025-06-14,1,0.0,Cable,103.0,26,5,OK
REC-0112,AST-1126,Vehicle,Unit C,Delhi,Operational,,2026-05-04,2,0.0,Connector,125.0,32,19,OK
REC-0113,AST-1084,Generator,Unit D,Ahmedabad,Standby,,2025-11-01,2,0.0,Fuse,56.0,34,19,OK
REC-0114,AST-1009,Vehicle,Unit B,Ahmedabad,Under Maintenance,Preventive,2025-12-31,7,15519.0,Lubricant,73.0,44,10,OK
REC-0115,AST-1063,Radar Unit,Unit A,Chandigarh,Operational,,2026-01-14,0,0.0,Battery,9.0,42,12,Low Stock
REC-0116,AST-1117,Generator,Unit B,Jaipur,Under Maintenance,Preventive,2025-12-09,17,18737.0,Connector,24.0,41,4,Low Stock
REC-0117,AST-1130,Communication Equipment,Unit D,Pune,Under Maintenance,Corrective,2025-12-20,5,33810.0,Sensor,83.0,45,18,OK
REC-0118,AST-1088,Power Unit,Unit D,Ahmedabad,Operational,,2026-02-20,1,0.0,Filter,150.0,52,16,OK
REC-0119,AST-1072,Vehicle,Unit E,Jaipur,Standby,,2025-04-19,0,0.0,Connector,115.0,30,8,OK
REC-0120,AST-1139,Generator,Unit D,Chandigarh,Operational,Preventive,2026-05-12,0,33096.0,Battery,6.0,29,4,Low Stock
REC-0121,AST-1064,Radar Unit,Unit C,Jodhpur,Under Maintenance,Inspection,2025-12-07,25,2191.0,Fuse,97.0,44,12,OK
REC-0122,AST-1072,Generator,Unit A,Pune,Standby,Corrective,2026-01-18,1,30816.0,Sensor,17.0,56,2,Low Stock
REC-0123,AST-1021,Cooling System,Unit E,Delhi,Operational,,2026-06-17,0,,Sensor,8.0,57,4,Low Stock
REC-0124,AST-1018,Radar Unit,Unit C,Ahmedabad,Operational,,2025-10-27,2,0.0,Sensor,113.0,60,5,OK
REC-0125,AST-1064,Communication Equipment,Unit B,Jaipur,Operational,,2025-05-19,1,0.0,Cable,78.0,43,3,OK
REC-0126,AST-1082,Power Unit,Unit A,Jodhpur,Operational,,2025-12-25,1,0.0,Filter,99.0,59,9,OK
REC-0127,AST-1110,Communication Equipment,Unit D,Delhi,Under Maintenance,Preventive,2026-05-14,6,7870.0,Fuse,109.0,52,18,OK
REC-0128,AST-1095,Vehicle,Unit A,Jaipur,Under Maintenance,Corrective,2026-01-20,26,54468.0,Fuse,12.0,36,11,Low Stock
REC-0129,AST-1032,Generator,Unit B,Jaipur,Operational,,2025-10-07,1,0.0,Sensor,71.0,43,3,OK
REC-0130,AST-1011,Cooling System,Unit E,Delhi,Operational,,2026-04-28,1,0.0,Fuse,114.0,56,2,OK
REC-0131,AST-1045,Radar Unit,Unit E,Jodhpur,Operational,,2025-04-21,1,0.0,Filter,13.0,21,9,Low Stock
REC-0132,AST-1033,Radar Unit,Unit E,Chandigarh,Operational,,2025-05-19,0,0.0,Filter,121.0,51,14,OK
REC-0133,AST-1102,Generator,Unit D,Jodhpur,Operational,,2026-03-11,2,0.0,Lubricant,15.0,43,4,Low Stock
REC-0134,AST-1136,Cooling System,Unit C,Pune,Operational,Inspection,2026-05-24,2,8281.0,Connector,103.0,28,9,OK
REC-0135,AST-1011,Generator,Unit C,Ahmedabad,Standby,,2025-09-30,2,0.0,Connector,46.0,23,13,OK
REC-0136,AST-1088,Vehicle,Unit A,Delhi,Operational,,2025-04-09,2,0.0,Lubricant,145.0,36,18,OK
REC-0137,AST-1041,Communication Equipment,Unit D,Chandigarh,Operational,,2025-04-14,0,0.0,Battery,124.0,36,15,OK
REC-0138,AST-1145,Radar Unit,Unit E,Delhi,Under Maintenance,Corrective,2025-08-02,5,32671.0,Connector,145.0,49,10,OK
REC-0139,AST-1076,Vehicle,Unit E,Delhi,Operational,Corrective,2025-06-14,2,45048.0,Filter,16.0,59,16,Low Stock
REC-0140,AST-1121,Communication Equipment,Unit B,Jodhpur,Standby,Preventive,2026-06-04,0,38027.0,Filter,41.0,30,12,OK
REC-0141,AST-1046,Vehicle,Unit B,Ahmedabad,Standby,,2025-10-11,0,0.0,Connector,78.0,40,20,OK
REC-0142,AST-1080,Cooling System,Unit E,Pune,Operational,Inspection,2026-06-01,1,11874.0,Filter,77.0,40,5,OK
REC-0143,AST-1054,Radar Unit,Unit E,Jaipur,Operational,,2025-06-13,0,0.0,Lubricant,56.0,37,2,OK
REC-0144,AST-1086,Generator,Unit D,Jaipur,Operational,,2025-03-05,1,0.0,Sensor,134.0,48,10,OK
REC-0145,AST-1092,Generator,Unit C,Delhi,Operational,,2025-04-01,2,0.0,Sensor,60.0,43,1,OK
REC-0146,AST-1148,Communication Equipment,Unit B,Ahmedabad,Operational,,2025-04-27,0,0.0,Fuse,64.0,29,7,OK
REC-0147,AST-1097,Power Unit,Unit C,Chandigarh,Operational,,2025-09-24,0,0.0,Sensor,27.0,36,17,Low Stock
REC-0148,AST-1002,Cooling System,Unit D,Jodhpur,Operational,,2025-05-20,0,0.0,Cable,107.0,37,16,OK
REC-0149,AST-1033,Communication Equipment,Unit E,Ahmedabad,Operational,,2025-09-03,0,0.0,Lubricant,44.0,39,3,OK
REC-0150,AST-1077,Power Unit,Unit C,Ahmedabad,Operational,,2026-01-30,0,0.0,Filter,68.0,56,14,OK
REC-0151,AST-1116,Vehicle,Unit E,Jodhpur,Standby,Inspection,2026-05-02,2,1787.0,Connector,89.0,37,10,OK
REC-0152,AST-1150,Cooling System,Unit E,Delhi,Operational,,2026-04-21,0,0.0,Sensor,93.0,36,7,OK
REC-0153,AST-1103,Vehicle,Unit A,Ahmedabad,Operational,,2026-06-01,0,0.0,Lubricant,35.0,28,17,OK
REC-0154,AST-1103,Radar Unit,Unit C,Jaipur,Operational,,2025-07-03,0,0.0,Sensor,24.0,33,6,Low Stock
REC-0155,AST-1090,Cooling System,Unit C,Jodhpur,Standby,,2025-01-20,2,0.0,Battery,134.0,48,4,OK
REC-0156,AST-1122,Power Unit,Unit E,Chandigarh,Operational,,2026-06-08,1,0.0,Filter,17.0,50,17,Low Stock
REC-0157,AST-1143,Radar Unit,Unit D,Pune,Operational,,2026-06-13,0,0.0,Battery,126.0,23,9,OK
REC-0158,AST-1106,Generator,Unit A,Delhi,Under Maintenance,Inspection,2025-05-27,16,3863.0,Filter,107.0,37,4,OK
REC-0159,AST-1119,Power Unit,Unit E,Jodhpur,Operational,,2025-10-31,0,0.0,Lubricant,110.0,39,7,OK
REC-0160,AST-1049,Communication Equipment,Unit B,Pune,Under Maintenance,Corrective,2025-08-16,12,56759.0,Fuse,123.0,28,2,OK
REC-0161,AST-1104,Generator,Unit B,Pune,Operational,,2025-04-12,0,0.0,Sensor,74.0,32,17,OK
REC-0162,AST-1061,Generator,Unit A,Chandigarh,Operational,,2026-02-21,1,0.0,Sensor,103.0,34,8,OK
REC-0163,AST-1123,Communication Equipment,Unit D,Ahmedabad,Operational,,2025-08-04,0,0.0,Cable,86.0,46,15,OK
REC-0164,AST-1134,Cooling System,Unit E,Chandigarh,Operational,Preventive,2026-02-11,0,31484.0,Connector,79.0,34,15,OK
REC-0165,AST-1009,Generator,Unit C,Ahmedabad,Operational,,2026-02-03,1,0.0,Battery,122.0,47,8,OK
REC-0166,AST-1006,Power Unit,Unit A,Ahmedabad,Under Maintenance,Preventive,2026-05-14,19,7191.0,Sensor,88.0,56,16,OK
REC-0167,AST-1073,Radar Unit,Unit D,Jodhpur,Operational,,2026-04-10,0,0.0,Lubricant,73.0,38,19,OK
REC-0168,AST-1103,Generator,Unit C,Jodhpur,Operational,Corrective,2025-03-23,1,20382.0,Fuse,63.0,45,11,OK
REC-0169,AST-1041,Power Unit,Unit B,Delhi,Operational,,2025-12-31,1,0.0,Connector,130.0,45,2,OK
REC-0170,AST-1114,Vehicle,Unit B,Ahmedabad,Operational,,2025-06-12,2,0.0,Lubricant,115.0,44,17,OK
REC-0171,AST-1008,Power Unit,Unit C,Pune,Operational,,2025-02-17,0,0.0,Battery,66.0,45,16,OK
REC-0172,AST-1072,Radar Unit,Unit A,Jaipur,Operational,,2026-05-26,0,0.0,Cable,148.0,45,15,OK
REC-0173,AST-1092,Power Unit,Unit B,Delhi,Operational,,2025-11-25,2,0.0,Sensor,132.0,47,13,OK
REC-0174,AST-1062,Communication Equipment,Unit E,Jodhpur,Operational,Inspection,2025-04-26,0,10599.0,Lubricant,109.0,37,15,OK
REC-0175,AST-1084,Radar Unit,Unit C,Chandigarh,Operational,,2025-12-03,1,0.0,Connector,72.0,51,4,OK
REC-0176,AST-1062,Cooling System,Unit C,Delhi,Operational,,2025-05-27,1,0.0,Filter,19.0,22,16,Low Stock
REC-0177,AST-1111,Vehicle,Unit B,Delhi,Under Maintenance,Corrective,2025-11-19,29,42123.0,Fuse,39.0,21,12,OK
REC-0178,AST-1127,Communication Equipment,Unit A,Delhi,Operational,,2026-03-19,0,0.0,Connector,18.0,52,4,Low Stock
REC-0179,AST-1007,Cooling System,Unit E,Delhi,Standby,Inspection,2025-01-13,1,1820.0,Lubricant,106.0,38,3,OK
REC-0180,AST-1084,Power Unit,Unit A,Jaipur,Operational,,2026-05-09,1,0.0,Fuse,104.0,36,17,OK
REC-0181,AST-1132,Radar Unit,Unit D,Chandigarh,Operational,,2025-10-14,2,0.0,Sensor,11.0,52,18,Low Stock
REC-0182,AST-1134,Vehicle,Unit D,Chandigarh,Operational,,2025-04-24,0,0.0,Filter,34.0,31,18,OK
REC-0183,AST-1058,Communication Equipment,Unit B,Chandigarh,Standby,Inspection,2026-04-25,0,8354.0,Cable,53.0,22,17,OK
REC-0184,AST-1022,Cooling System,Unit B,Ahmedabad,Under Maintenance,Corrective,2025-01-22,9,65664.0,Connector,148.0,45,12,OK
REC-0185,AST-1127,Cooling System,Unit B,Pune,Operational,,2025-12-15,2,0.0,Cable,115.0,54,4,OK
REC-0186,AST-1003,Vehicle,Unit D,Chandigarh,Operational,,2025-11-16,0,0.0,Filter,76.0,27,12,OK
REC-0187,AST-1127,Power Unit,Unit A,Delhi,Under Maintenance,Preventive,2025-05-06,9,36964.0,Fuse,84.0,55,20,OK
REC-0188,AST-1041,Vehicle,Unit A,Delhi,Operational,,2025-10-04,0,0.0,Sensor,87.0,26,15,OK
REC-0189,AST-1106,Cooling System,Unit B,Chandigarh,Operational,,2025-07-23,1,0.0,Lubricant,46.0,55,16,Low Stock
REC-0190,AST-1014,Generator,Unit E,Chandigarh,Operational,,2025-07-13,0,0.0,Filter,21.0,35,5,Low Stock
REC-0191,AST-1012,Communication Equipment,Unit A,Delhi,Operational,,2025-10-13,0,0.0,Battery,11.0,43,15,Low Stock
REC-0192,AST-1087,Vehicle,Unit D,Ahmedabad,Standby,Inspection,2025-02-26,0,1511.0,Fuse,14.0,20,17,Low Stock
REC-0193,AST-1012,Cooling System,Unit C,Jodhpur,Standby,Preventive,2025-10-30,2,28689.0,Cable,38.0,44,18,Low Stock
REC-0194,AST-1141,Power Unit,Unit C,Jodhpur,Operational,,2025-06-12,0,0.0,Connector,40.0,29,5,OK
REC-0195,AST-1025,Cooling System,Unit C,Chandigarh,Operational,,2025-01-19,0,0.0,Filter,10.0,35,13,Low Stock
REC-0196,AST-1045,Power Unit,Unit E,Jaipur,Operational,Corrective,2026-01-05,0,50172.0,Cable,150.0,35,19,OK
REC-0197,AST-1122,Vehicle,Unit B,Chandigarh,Under Maintenance,Corrective,2025-09-21,14,77197.0,Fuse,138.0,27,13,OK
REC-0198,AST-1147,Power Unit,Unit D,Chandigarh,Standby,Preventive,2025-04-23,0,21330.0,Cable,33.0,48,18,Low Stock
REC-0199,AST-1055,Radar Unit,Unit E,Jodhpur,Standby,Preventive,2026-05-03,0,11891.0,Filter,130.0,58,14,OK
REC-0200,AST-1100,Radar Unit,Unit D,Delhi,Under Maintenance,Preventive,2025-11-23,5,11992.0,Fuse,85.0,47,4,OK
REC-0201,AST-1136,Radar Unit,Unit D,Chandigarh,Operational,,2026-06-26,0,0.0,Battery,79.0,25,4,OK
REC-0202,AST-1119,Generator,Unit B,Delhi,Operational,,2025-03-06,0,0.0,Filter,30.0,35,20,Low Stock
REC-0203,AST-1053,Vehicle,Unit C,Delhi,Operational,,2025-10-19,2,0.0,Lubricant,131.0,39,20,OK
REC-0204,AST-1032,Cooling System,Unit B,Jaipur,Standby,Preventive,2025-01-25,0,17848.0,Sensor,119.0,35,19,OK
REC-0205,AST-1051,Cooling System,Unit E,Delhi,Operational,,2025-01-01,0,0.0,Filter,130.0,26,13,OK
REC-0206,AST-1044,Generator,Unit E,Jodhpur,Operational,,2025-05-21,0,0.0,Fuse,32.0,60,12,Low Stock
REC-0207,AST-1082,Power Unit,Unit E,Ahmedabad,Operational,,2025-07-07,0,0.0,Connector,135.0,33,7,OK
REC-0208,AST-1146,Generator,Unit B,Ahmedabad,Operational,,2025-05-08,0,0.0,Sensor,79.0,45,12,OK
